Altium Designer Pick and Place Locations
C:\Users\Damien\HESSO\TB Rainette - General\Projet Altium\Rainette\Project Outputs for Rainette\Pick Place\Pick Place for Rainette.csv

========================================================================================================================
File Design Information:

Date:       06.06.25
Time:       14:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P1","61300621121","TopLayer","61300621121","66.6242","80.7466","90","WR-PHD Pin Header, THT, Vertical, pitch 2.54mm, 2 Row, 6P"
"D20","PESD3V3L1BSLZ","TopLayer","PESD3V3L1BSLZ","20.1366","81.0106","0","Diode ESD (Bi-directional)"
"X2","CONN HEADER VERT 2POS 2.54MM","TopLayer","CONN_HEADER_VERT_2POS_2.54MM","48.2854","80.1624","90","Connector Header Through Hole 2 position 0.100" (2.54mm)"
"D31","MMSZ5227BT1G","TopLayer","SOD3717X135","16.0021","74.8797","90","Zener Diode 3.6V 500 mW ±5% Surface Mount SOD-123"
"D30","MMSZ5227BT1G","TopLayer","SOD3717X135","7.7151","73.4526","90","Zener Diode 3.6V 500 mW ±5% Surface Mount SOD-123"
"D29","MMSZ5227BT1G","TopLayer","SOD3717X135","43.4398","80.9211","180","Zener Diode 3.6V 500 mW ±5% Surface Mount SOD-123"
"J10","TC2050-IDC","TopLayer","TC2050-IDC","-5.2070","72.0344","270","Connector"
"J1","UJC-HP-G-5-SMT-TR","TopLayer","UJCHPG5SMTTR","61.2929","60.1164","0","Connector"
"X1","CONN HEADER VERT 2POS 2.54MM","TopLayer","CONN_HEADER_VERT_2POS_2.54MM","22.9933","82.2654","90","Connector Header Through Hole 2 position 0.100" (2.54mm)"
"U2","SHT41-AD1B-R2","TopLayer","DFN4_SHT41_SEN","28.2751","84.4042","0","No Description Available"
"U1","STM32WB5MMGH6TR","TopLayer","SIP-LGA86_STM","4.9530","93.4640","0","No Description Available"
"TP11","5117","TopLayer","5117","35.0012","96.0000","90","PC TEST POINT MINIATURE BLUE"
"TP10","5117","TopLayer","5117","42.1640","96.0000","90","PC TEST POINT MINIATURE BLUE"
"TP9","5117","TopLayer","5117","49.1756","96.0000","90","PC TEST POINT MINIATURE BLUE"
"TP8","5117","TopLayer","5117","56.5658","96.0000","90","PC TEST POINT MINIATURE BLUE"
"TP7","5117","TopLayer","5117","63.9572","96.0000","90","PC TEST POINT MINIATURE BLUE"
"S2","PTS645SL43SMTR92LFS","TopLayer","PTS645SL43SMTR92LFS","-4.7282","83.9970","0","Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 1.27N, 4 PCB Hole Cnt, Solder Terminal, Surface Mount-straight"
"S1","PTS645SL43SMTR92LFS","TopLayer","PTS645SL43SMTR92LFS","50.6350","88.4454","180","Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 1.27N, 4 PCB Hole Cnt, Solder Terminal, Surface Mount-straight"
"R15","22","TopLayer","RESC1608X04N","0.5080","77.8256","180","22 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R14","22","TopLayer","RESC1608X04N","0.3996","75.4672","270","22 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R13","22","TopLayer","RESC1608X04N","0.1496","72.9991","180","22 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R12","22","TopLayer","RESC1608X04N","-7.4168","79.3750","180","22 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R11","22","TopLayer","RESC1608X04N","-1.2446","79.4004","180","22 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R10","10k","TopLayer","RESC1608X04N","25.1606","84.3604","90","10 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film"
"R9","10k","TopLayer","RESC1608X04N","25.1606","80.1788","270","10 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film"
"R8","220","TopLayer","RESC1608X04N","27.4430","73.0614","0","220 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R7","220","TopLayer","RESC1608X04N","39.5224","73.0297","0","220 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R6","120 0.1%","TopLayer","RESC2012X05N","42.9251","86.7222","180","120 Ohms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Thin Film"
"R5","120 0.1%","TopLayer","RESC2012X05N","25.9356","94.5340","180","120 Ohms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Thin Film
RT0805BRD07120RL"
"R4","82k","TopLayer","RESC3216X06N","44.5516","73.6092","90","82 kOhms ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Moisture Resistant Thick Film
RC1206FR-0782KL"
"R3","22k 0.1%","TopLayer","RESC1005X04N","45.0016","76.9535","180","22 kOhms ±0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thin Film
RT0402BRD0722KL"
"R2","100k 0.1%","TopLayer","RESC1608X04N","50.4456","72.9702","270","100 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film"
"R1","100","TopLayer","RESC1005X04N","59.2366","81.9946","0","100 Ohms 0402
CRCW0402100RFKEDC"
"Q1","DMC3071LVT-13","TopLayer","SOT95P280X100-6N","47.7980","74.9035","90","MOSFET Pair (N/P-Channel)"
"PS1","TSR_1-2450E","TopLayer","TSR12450E","76.0222","79.8068","90","DC/DC Converter 
7-36 V -> 5V"
"L1","2.2uH","TopLayer","LPS3015","58.1727","75.4285","180","Inductor
LPS3015-222MLB"
"J12","M20-9990345","TopLayer","HDRV3W64P0X254_1X3_762X254X864P","13.5947","83.5463","180","Connector"
"J9","1729128","TopLayer","1729128","24.7530","63.0364","0","Connector"
"J8","1729128","TopLayer","1729128","36.7453","63.0364","0","Connector"
